orth,pron_no_tones,pron_with_tones
ໃນໃຈ,najt͡ɕaj,naj˧˥t͡ɕaj
ເລວ,leːw,leːw˧˥
ຮອງ,hɔːŋ,hɔːŋ˧˥
ທີ່ປຶກສາ,tʰiːpɯksaː,tʰiː˧pɯk˧˥saː˩˧
ບະ,ba,ba˧˥
ທຸ່ມ,tʰum,tʰum˧
ປ່ອຽ,pɔːj,pɔːj˧
ພູບານ,pʰuːbaːn,pʰuː˧˥baːn
ກຸມ,kum,kum
ເສົ້າ,sao,sao˧˩
ສ້ວງ,suaːŋ,suaːŋ˧˩
ກອບ,kɔːp,kɔːp˧˩
ເອົາລູກອອກ,aoluːkɔːk,aoluːk˥˨ɔːk˧˩
ອົບ,op,op˧˥
ດາວເຮືອງ,daːohɯːə̯ŋ,daːohɯːə̯ŋ˧˥
ເຫມາະ,mɔ,mɔ˧˥
ມີສະຕິ,miːsati,miː˧˥sa˧˥ti˧˥
